Symbol	Description
GGEM	Consumer Goods GEMS ETF Egshares
GGGG	G-X Pure Gold Miners ETF
GGN	The Gabelli Global Goldn Natural Resources
GGN-A	Gabelli 6.625 Pfd A
GGOV	Germany Sov / Sub-Sov Debt ETF Proshares
GGR	Geoglobal Resources Inc.
GHM	Graham Corp.
GHYG	Global High Yield Corporate Bond Fund Ishares
GIG	Gigoptix Inc.
GII	SPDR FTSE Global Infra 100
GIVE	Advisorshares Global Echo ETF
GIY	Enhanced Core Bond Guggenheim
GLD	SPDR Gold
GLDX	G-X Gold Explorers ETF
GLJ	Ishares 10+ Year Government/Cre
GLL	Ultrashort Gold Proshares
GLO	Clough Global Opportunities Fund
GLOW	Glowpoint Inc
GLQ	Clough Global Equity Fund
GLTR	Physical Precious Metals Basket
GLU	Gabelli Global Utility
GLV	Clough Global Allocation Fund
GMF	SPDR S&P Emerging Asia Pacific
GMFS	SPDR S&P Smallcap EM Asia Pacific ETF
GML	SPDR S&P Emerging Latin America
GMM	SPDR S&P Emerging Markets
GMMB	Interm Munil Bond Straegyt Fund
GMO	General Moly Inc
GMTB	Core Bond Strategy Fund
GNAT	Global Natural Resources Wisdomtree
GNR	SPDR S&P Global Natural Resources
GOK	Geokinetics
GORO	Gold Resource Corp.
GOVT	US Trsy Bond Ishares
GPL	Great Panther Silver Limited
GPR	Geopetro Resources Co
GRC	Gorman-Rupp Company
GREK	G-X FTSE Greece 20 ETF
GRES	IQ Global Resources ETF
GRF	Eagle Capital Growth Fund
GRH	Greenhunter Energy Inc
GRH-C	Greenhunter Energy Inc 10% Seri
GRI	Global Realty Majors Cohen & Steers ETF
GRN	Global Carbon ETN Ipath
GRPC	Russell Growth At A Reasonable Price ETF
GRU	MLCX Grains Index TR ETN Elements
GRWN	Softs Pure Beta ETN Ipath
GRZ	Gold Reserve Inc
GSB	Globalscape
GSC	GS Connect S&P GSCI Enh Commodity TR ETN
GSG	S&P GSCI Commodity-Indexed Trust Ishares
GSP	S&P GSCI Total Return Index ETN Ipath
GSS	Golden Star Resources Ltd
GST	Gastar Exploration
GST-A	Gastar Exploration 8.625% Serie
GSV	Gold Standard Ventures Corp
GSX	Gasco Energy Inc
GSY	Enhanced Short Dur Bond ETF Guggenheim
GTAA	Cambria Global Tactical ETF
GTE	Gran Tierra Energy Inc.
GTIP	Global Inflation-Linked Bond Fund Ishares
GTU	Central Gold Trust
GUNR	Mstar Global Upstrm Nat Res ETF Flexshares
GUR	SPDR S&P Emerging Europe
GURU	Global X Top Guru Holdings Inde
GV	Goldfield Corp.
GVI	Interm Govt/Credit Bond Ishares
GVP	Gse Systems
GVT	Concen Largecap Value Strategy Fund
GWL	SPDR S&P World Ex-US
GWO	CS Global Warming ETN Elements
GWX	SPDR S&P Smallcap International
GXC	SPDR S&P China
GXF	G-X FTSE Nordic Region ETF
GXG	G-X FTSE Colombia 20 ETF
GYLD	Arrow DJ Global Yield ETF
HAO	China Smallcap Guggenheim
HAP	Rve Hard Assets Prod ETF Market Vectors
HBTA	Russell 1000 High Beta ETF
HDG	Hedge Replication ETF Proshares
HDGE	Active Bear ETF
HDIV	Russell High Dividend Yield ETF
HDV	High Dividend Equity Ishares
HEB	Hemispherx Biopharma
HECO	Huntington Ecological Strategy
HEDJ	Intl Hedged Equity Wisdomtree
HEVY	Industrial Metals Pure Beta ETN Ipath
HFB	Merrill Lynch & Co.
HGEM	Healthcare GEMS ETF Egshares
HGI	Intl Multi-Asset Inc Guggenheim
HH	Hooper Holmes
HILO	Low Volatility EM Dividend ETF Egshares
HKN	Hkn
HLM.P	Hillman Gr Cap 11.6
HMG	Hmg/Courtland Properties
HMTM	Russell 1000 High Momentum ETF
HNW	Pioneer Diversified High Income Trust
HRT	Arrhythmia Research Technology Inc.
HTM	U.S. Geothermal Inc.
HUSA	Houston American Energy Corp.
HUSE	Huntington US Equity Rotation S
HVOL	Russell 1000 High Volatility ETF
HWG	Hallwood Group Inc.
HYD	High-Yield Muni ETF Market Vectors
HYEM	Emrg Mkts High Yield Bd ETF Market Vectors
HYG	Iboxx $ High Yield Corporate Bd Ishares
HYLD	Peritus High Yield ETF
HYMB	SPDR S&P High Yield Municipal Bd
HYS	0-5 Year Hi Yld Corp Bond Idx ETF Pimco
HYXU	Global Ex-US High Yield Corp Bond Fund Ishares
IAF	Aberdeen Australia Equity Fund Inc
IAI	DJ US Broker-Dealers Ishares
IAK	DJ US Insurance Ishares
IAT	DJ US Regional Banks Ishares
IAU	Gold Trust Ishares
IBIO	Ibio
IBND	SPDR Intl Corp Bond Barclays Capital
ICF	Realty Majors Cohen & Steers Ishares
ICH	Investors Capital Holdings
ICI	Optimized Currency Carry ETN Ipath
ICN	Indian Rupee Dreyfus Wisdomtree
IDHB	S&P Intl Dev High Beta Powershares
IDHQ	S&P Intl Dev High Quality Powershares
IDI	Searchmedia Holdings
IDI.W	Searchmedia Hldg Ltd
IDLV	S&P Intl Dev Low Volatility Powershares
IDN	Intellicheck Mobilisia
IDU	DJ US Utilities Ishares
IDV	DJ Intl Select Div Idx Ishares
IDX	Indonesia Index ETF Market Vectors
IDXJ	Indonesia Smallcap ETF Market Vectors
IEC	Iec Electronics
IEF	7-10 Yr Trsy Ishares
IEFA	Ishares Core MSCI EAFE ETF
IEI	3-7 Year Treasury Bond Ishares
IEMG	Ishares Core MSCI Emerging Mark
IEO	DJ US Oil & Gas Ex Index Ishares
IEV	S&P Europe 350 Index Ishares
IEZ	DJ US Oil Equipment Index Ishares
IF	Aberdeen Indonesia Fund
IFMI	Institutional Financial Markets
IFO	Spx Lasers
IG	Igi Laboratories
IGC	India Globalization Capital Inc.
IGC.U	India Globalization Capital Inc.
IGC.W	India Globalization Capital
IGE	S&P Natural Resources North Amer Ishares
IGEM	Industrials GEMS ETF Egshares
IGF	S&P Global Infrastructure Index Ishares
IGM	S&P Technology North Amer Ishares
IGN	S&P Tech-Multimd Ntwk North Amer Ishares
IGS	Short Investment Grade Corp Proshares
IGU	Ultra Investment Grade Corp Proshares
IGV	S&P Tech-Software North Amer Ishares
IHE	DJ US Pharmaceuticals Ishares
IHF	DJ US Healthcare Provider Ishares
IHI	DJ US Medical Devices Ishares
IHT	Innsuites Hospitality Trust
IHY	Intl High Yield Bond ETF Market Vectors
IJH	S&P Midcap 400 Index Ishares
IJJ	S&P Midcap 400 Value Index Ishares
IJK	S&P Midcap 400 Growth Index Ishares
IJR	S&P Smallcap 600 Index Ishares
IJS	S&P Smallcap 600 Value Index Ishares
IJT	S&P Smallcap 600 Growth Ishares
ILB	Global Advantage Inflation-Linked Bd Strat Fd Pi
ILF	S&P Latin Amer 40 Index Ishares
ILTB	10+ Year Government/Credit Bond Ishares
IMH	Impac Mortgage Holdings
IMO	Imperial Oil Limited
IMUC	Immunocellular Thera
INCO	India Consumer Egshares
INDA	India Index Fund MSCI Ishares
INDL	India Bull 3X Direxion
INFL	DB US Inflation ETN Powershares
INFU	Infusystems Holdings
INKM	SPDR SSGA Income Allocation ETF
INO	Inovio Pharmaceuticals
INP	India Index ETN MSCI Ipath
INR	INR/USD ETN Market Vectors
INS	Intelligent Systems Corp.
INSD	Largecap Insider Sentiment Direxion
INUV	Inuvo Inc
INV	Innovaro Inc
INXX	India Infrastructure Egshares
INY	SPDR NY Muni Bd Barclays Capital
IOIL	IQ Global Oil Smallcap ETF
IOO	S&P Global 100 Index Ishares
IOT	Income Opportunity Realty Trust
IPB	Merrill Lynch & Co.
IPD	SPDR S&P Cons Disc Sector International
IPE	SPDR Tips Barclays Capital
IPF	SPDR S&P Financial Sector International
IPFF	S&P Intl Preferred Stock Index Ishares
IPK	SPDR S&P Technology Sector International
IPLT	2X Inverse Platinum ETN Velocityshares
IPN	SPDR S&P Industrial Sector International
IPS	SPDR S&P Cons Stapl Sector International
IPT	Iparty Corp.
IPU	SPDR S&P Utilities Sector International
IPW	SPDR S&P Energy Sector International
IRV	SPDR S&P Materials Sector International
IRY	SPDR S&P Healthcare Sector International
ISI	Ishares S&P 1500 Index Fund
ISL	Aberdeen Israel Fund
ISR	Isoray
IST	SPDR S&P Telecom Sector International
ISTB	Ishares Core Short-Term US Bond
ITA	DJ US Aerospace & Defense Ishares
ITB	DJ US Home Construction Ishares
ITE	SPDR Interm-Term Trs Barclays Capital
ITF	S&P/Topix 150 Index Ishares
ITI	Iteris
ITIP	Intl Inflation-Linked Bond Fund Ishares
ITLT	DB 3X Italian Treas Bond ETN Powershares
ITLY	DB Italian Treas Bond ETN Powershares
ITM	Intermediate Muni ETF Market Vectors
ITOT	S&P 1500 Index Ishares
ITR	SPDR Interm-Term Corp Bnd Barclays Capital
IVE	S&P 500 Value Index Ishares
IVOG	S&P Midcap 400 Growth Idx ETF Vanguard
IVOO	S&P Midcap 400 Index ETF Vanguard
IVOP	S&P 500 VIX Inverse ST Fut ETN II Ipath
IVOV	S&P Midcap 400 Value Index ETF Vanguard
IVV	S&P 500 Index Ishares
IVW	S&P 500 Growth Index Ishares
IWB	Russell 1000 Index Ishares
IWC	Russell Microcap Index Ishares
IWD	Russell 1000 Value Index Ishares
IWF	Russell 1000 Growth Index Ishares
IWL	Russell Top 200 Index Ishares
IWM	Russell 2000 ETF
IWN	Russell 2000 Value Index Ishares
IWO	Russell 2000 Growth Index Ishares
IWP	Russell Midcap Growth Index Ishares
IWR	Russell Midcap Index Ishares
IWS	Russell Midcap Value Index Ishares
IWV	Russell 3000 Index Ishares
IWW	Russell 3000 Value Index Ishares
IWX	Russell Top 200 Value Index Ishares
IWY	Russell Top 200 Growth Index Ishares
IWZ	Russell 3000 Growth Index Ishares
IXC	S&P Global Energy Ishares
IXG	S&P Global Financials Ishares
IXJ	S&P Global Healthcare Ishares
IXN	S&P Global Technology Ishares
IXP	S&P Global Telecommunications Ishares
IXUS	Ishares Core MSCI Total Interna
IYC	DJ US Consumer Services Ishares
IYE	DJ US Energy Ishares
IYF	DJ US Financial Sector Ishares
IYG	DJ US Financial Services Ishares
IYH	DJ US Healthcare Ishares
IYJ	DJ US Industrial Ishares
IYK	DJ US Consumer Goods Ishares
IYLD	Mstar Multi-Asset Income Index Ishares
IYM	DJ US Basic Materials Ishares
IYR	DJ US Real Estate Ishares
IYT	DJ Transportation Average Ishares
IYW	DJ US Technology Ishares
IYY	DJ US Index Ishares
IYZ	DJ US Telecom Ishares
JEM	GEMS Index ETN Ipath
JGBD	DB 3X Inver Jap Gov Bond ETN Powershares
JGBL	DB Japan Gov Bond ETN Powershares
JGBS	DB Inverse Jap Gov Bond ETN Powershares
JJA	DJ-UBS Agriculture TR Sub-Idx ETN Ipath
JJC	DJ-UBS Copper TR Sub-Idx ETN Ipath
JJE	DJ-UBS Energy TR Sub-Idx ETN Ipath
JJG	DJ-UBS Grains TR Sub-Idx ETN Ipath
JJM	DJ-UBS Ind Metals TR Sub-Idx ETN Ipath
JJN	DJ-UBS Nickel TR Sub-Idx ETN Ipath
JJP	DJ-UBS Prec Metals TR Sub-Idx ETN Ipath
JJS	DJ-UBS Softs TR Sub-Idx ETN Ipath
JJT	DJ-UBS Tin TR Sub-Idx ETN Ipath
JJU	DJ-UBS Aluminum TR Sub-Idx ETN Ipath
JKD	Mstar Large Core Index Ishares
JKE	Mstar Large Growth Index Ishares
JKF	Mstar Large Value Index Ishares
JKG	Mstar Mid Core Index Ishares
JKH	Mstar Mid Growth Index Ishares
JKI	Mstar Mid Value Index Ishares
JKJ	Mstar Small Core Index Ishares
JKK	Mstar Small Growth Index Ishares
JKL	Mstar Small Value Index Ishares
JNK	SPDR High Yield Bond Barclays Capital
JO	DJ-UBS Coffee TR Sub-Idx ETN Ipath
JOB	General Employment Enterprises
JPP	SPDR Prime Japan
JPX	Ultrashort MSCI Pacific Ex-Jpn Proshares
JRS	Nuveen Real Estate Fund
JSC	SPDR Smallcap Japan
JUNR	Global X Junior Miners ETF
JXI	S&P Global Utilities Ishares
JYF	Japanese Yen Dreyfus Wisdomtree
JYN	JPY/USD Exchange Rate ETN Ipath
KBE	SPDR S&P Bank ETF
KBWB	KBW Bank Powershares
KBWC	KBW Capital Markets Powershares
KBWD	KBW High Div Yield Financial Powershares
KBWI	KBW Insurance Powershares
KBWP	KBW Prop & Casuality Insur Powershares
KBWR	KBW Regional Banking Powershares
KBWX	KBW Intl Financial Powershares
KBWY	KBW Prem Yield Equity REIT Powershares
KBX	Kimber Resources Inc
KCE	SPDR S&P Capital Markets ETF
KGN	Keegan Resources Inc
KIE	SPDR S&P Insurance ETF
KLD	USA ESG Select Index MSCI Ishares
KME	SPDR S&P Mortgage Finance ETF
KNOW	All Cap Insider Sentiment Direxion
KOL	Coal ETF Market Vectors
KOLD	Ultrashort DJ-UBS Natural Gas Proshares
KRE	SPDR S&P Regional Banking ETF
KROO	IQ Australia Smallcap ETF
KRS	Short KBW Regional Banking Proshares
KRU	Ultra KBW Regional Banking Proshares
KWT	Solar Energy ETF Market Vectors
KXI	S&P Global Consumer Staples Ishares
KXM	Kobex Minerals Inc.
LAG	SPDR Aggregate Bond Barclays Capital
LAQ	Latin America Equity Fund
LATM	Latam Smallcap Index ETF Market Vectors
LBJ	Latin America Bull 3X Direxion
LBND	DB 3X Long 25+ Yr Trsy Bd ETN Powershares
LBTA	Russell 1000 Low Beta ETF
LBY	Libbey
LCI	Lannett Co Inc
LCPR	2X Long Copper ETN Velocityshares
LD	DJ-UBS Lead TR Sub-Idx ETN Ipath
LEDD	Lead Pure Beta ETN Ipath
LEI	Lucas Energy
LEMB	Emrg Mkts Local Cur Bond Ishares
LGEM	Basic Materials GEMS ETF Egshares
LGL	Lgl Group
LIT	G-X Lithium ETF
LNG	Cheniere Energy
LODE	Comstock Mining Inc
LON	Loncor Resources Inc
LOV	Spark Networks Plc
LPAL	2X Long Palladium ETN Velocityshares
LPH	Longwei Petroleum Investment Holding
LPLT	2X Long Platinum ETN Velocityshares
LQD	Iboxx $ Invest Grade Corp Bond Ishares
LSC	S&P Cti ETN Elements
LSG	Lake Shore Gold Corp
LSKY	Monthly 2X ISE Cloud Comput UBS E-Tracs
LSTK	Livestock Pure Beta ETN Ipath
LTL	Ultra Telecommunications Proshares
LTPZ	15+ Year US Tips Index ETF Pimco
LTS	Ladenburg Thalmann Financial Inc
LVL	S&P Global Dividend Opps Guggenheim
LVOL	Russell 1000 Low Volatility ETF
LWC	SPDR Long Corpterm Bd Barclays Capital
MAB	Eaton Vance Massachusetts Muni Bond
MATH	Meidell Tactical Advantage ETF
MATL	Basic Materials Bull 3X Direxion
MBA	Cibt Education Group Inc.
MBB	MBS Bond Ishares
MBC	3% Min. Coupon Ppn On Russell 2000
MBF	Min Coupon On S&P Midcap 400 Index
MBG	SPDR Mortgage Backed Bond Barclays Capital
MBL	Bank Of America Corp.
MCF	Contango Oil & Gas Company
MCHI	China Index MSCI Ishares
MCRO	IQ Hedge Macro Tracker ETF
MCZ	Mad Catz Interactive Inc
MDD	SPDR S&P Midcap International
MDG.W	Medgenics Inc
MDGN	Medgenics Inc. Common Stock
MDM	Mountain Province Diamonds Inc.
MDW	Midway Gold Corp.
MDY	SPDR S&P Midcap 400
MDYG	SPDR DJ Midcap Growth ETF
MDYV	SPDR DJ Midcap Value ETF
MEA	Metalico Inc
MEET	Meetme Inc
MES	Gulf States Index ETF Market Vectors
MFLA	Ipath Long Enhanced MSCI EAFE I
MFSA	Short Enhanced MSCI EAFE ETN Ipath
MGC	Megacap 300 Index ETF Vanguard
MGH	Minco Gold Corp.
MGJ	Bank Of America Corp.
MGK	Megacap 300 Growth Index ETF Vanguard
MGN	Mines Management
MGT	Mgt Capital Investments Inc
MGV	Megacap 300 Value Index ETF Vanguard
MHC	2% Minimum Coupon On Spx
MHE	Massachusetts Health And Education Tax-Exempt TR
MHH	Mastech Holdings Inc
MHM	Bank Of America Corp.
MHR-C	Magnum Hunter Resour
MHR-D	Magnum Hunter Resources Corpora
MHW	Bank Of America Corp.
MIDU	Direxion Daily Mid Cap Bull 3X Shares
MIDZ	Midcap Bear 3X Direxion
MINT	Enhanced Short-Maturity Strgy ETF Pimco
MIW	Eaton Vance Michigan Muni Bond Fund
MJC	3% Min Coupon On Russell 2000 Index
MKF	Bank Of America Corp.
MKN	3% Min Coupon Principal DJ-AIG Commodity Excess
MKZ	Min Coupon Ppn On DOW Jones-UBS Commodity Index
MLA	Bank Of America Corp.
MLN	Long Municipal Index ETF Market Vectors
MLPA	G-X MLP ETF
MLPG	Alerian Natural Gas MLP ETN UBS E-Tracs
MLPI	Alerian MLP Infrastrctr ETN UBS E-Tracs
MLPL	2X Long Alerian MLP Infr ETN UBS E-Tracs
MLPN	Cushing 30 MLP Index ETN Credit Suisse
MLPS	1X Short Alerian MLP Infr ETN UBS E-Tracs
MLPW	MLP Wells Fargo ETN UBS E-Tracs
MLPY	Cushing MLP Hi Income ETN Morgan Stanley
MMF	Bank Of America Corp.
MMV	Eaton Vance Massachusetts Muni Income Trust
MNA	IQ Merger Arbitrage ETF
MOAT	Mstar Wide Moat ETF Market Vectors
MOC	Command Security Corp.
MOL	2% Min Coupon Based On Gold
MOM	US Momentum Market Neutral ETF Quantshares
MONY	Financial Sector Bond Ishares
MOO	Agribusiness ETF Market Vectors
MORL	Etracs Monthly Pay 2Xleveraged
MORT	Mortgage REIT ETF Market Vectors
MOU	3% Principal Protected Notes Based On Russell 20
MPE	Bank Of America Corp.
MQC	Bank Of America Corp.
MSC	Bank Of America Corp.
MSL	Midsouth Bancorp
MSN	Emerson Radio Corp.
MTK	SPDR Morgan Stanley Technology
MTY	3% Min Coupon Ppm On Price Of Gold
MUAB	2013 S&P Amt-Free Municipal Ser Ishares
MUAC	2014 S&P Amt-Free Municipal Ser Ishares
MUAD	2015 S&P Amt-Free Municipal Ser Ishares
MUAE	2016 S&P Amt-Free Municipal Ser Ishares
MUAF	2017 S&P Amt-Free Municipal Ser Ishares
MUB	S&P National Amt-Free Muni Bd Ishares
MUK	3% Min Coupon Ppn On Spx
MUNI	Intermediate Muni Bond Strgy ETF Pimco
MVF	Munivest Fund
MVG	Mag Silver Corp.
MVV	Ultra Midcap 400 Proshares
MXA	Minnesota Muni Income Portfolio Inc.
MXC	Mexco Energy Corp.
MXI	S&P Global Materials Ishares
MXN	First American Minnesota Muni II
MYP	3% Min Coupon Principal Protected Notes Based On
MYY	Short Midcap 400 Proshares
MZA	Muniyield Arizona Fund
MZZ	Ultrashort Midcap400 Proshares
NAGS	Teucrium Natural Gas
NAK	Northern Dynasty Minerals
NASI	PAX North America ESG MSCI Index ETF
NAVB	Neoprobe Corp.
NBH	Neuberger Berman Intermediate Fund Inc.
NBJ	Nuveen Ohio Divadv Fund 2
NBJ-A	Nuveen Ohio Divd Adv Mun Fd 2
NBO	Neuberger Berman New York Intermediate Fund Inc.
NBS	Neostem
NBW	Neuberger Berman California Intermediate Fund In
NBY	Novabay Pharmaceuticals
NCB	Nuveen California Muni Value Fund 2
NCQ	Novacopper Inc. Common Stock
NCU	Nuveen California Premium Fund
NEA	Nuveen Insured Tax-Free Advantage Fund
NEN	New England Realty Associates Limited Partnershi
NEWN	New Energy Systems Group.
NFO	Insider Sentiment Guggenheim
NFZ	Nuveen Arizona Divadv Fund
NFZ-C	Nuveen Arizona Dividend Advanta
NG	Novagold Resources Inc New
NGD	New Gold Inc.
NGX	Nuveen Insured Massachusetts Tax-Free
NHC	National Healthcare Corp.
NHC-A	National Hlthcare Sr
NHS	Neuberger Berman High Yield Strategies
NIB	DJ-UBS Cocoa TR Sub-Idx ETN Ipath
NINI	Nickel Pure Beta ETN Ipath
NJV	Nuveen New Jersey Muni Value Fund
NKG	Nuveen Georgia Divadv Fund 2
NKG-E	Nuveen Georgia Dividend Advanta
NKO	Nuveen Insured New York Divadv Fund
NKR	Nuveen Arizona Divadv Fund 2
NKX	Nuveen Insured California Tax-Free
NKY	Maxis Nikkei 225 Index ETF
NLP	Nts Realty Holdings Limited Partnership
NLR	Uranium+Nuclear Energy ETF Market Vectors
NMB	Nuveen Massachusetts Divadv Fund
NMB-C	Nuveen Massachusetts Dividend A
NMZ	Nuveen Muni High Income Opportunity
NOG	Northern Oil And Gas
NOM	Nuveen Missouri Premium Fund
NOMO	US Anti-Momen Market Neutral ETF Quantshares
NORW	G-X Norway ETF
NPN	Nuveen Pennsylvania Muni Value Fund
NRK	Nuveen Insured New York Tax-Free
NRO	Neuberger Berman Real Estate Securities
NSU	Nevsun Resources Ltd
NTN	Ntn Buzztime
NTS	Nts Inc
NUGT	Gold Miners Bull 3X Direxion
NUJ	Nuveen New Jersey Divadv Fund 2
NVG	Nuveen Insured Divadv Fund
NVJ	Nuveen Ohio Divadv Fund 3
NVJ-A	Nuveen Ohio Dividend Advantage
NVX	Nuveen California Divadv Fund 2
NVY	Nuveen Pennsylvania Divadv Fund 2
NXE	Nuveen Arizona Divadv Fund 3
NXI	Nuveen Ohio Divadv Fund
NXI-D	Nuveen Ohio Dividend Advantage
NXJ	Nuveen New Jersey Divadv Fund
NXK	Nuveen New York Divadv Fund 2
NXM	Nuveen Pennsylvania Divadv Fund
NXZ	Nuveen Divadv Fund 2
NY	NYSE 100 Index Ishares
NYC	NYSE Composite Index Ishares
NYF	S&P NY Amt-Free Municipal Bd Ishares
NYH	Eaton Vance New York Muni Bond Fund II
NYV	Nuveen New York Muni Value Fund 2
NZF	Nuveen Divadv Fund 3
NZH	Nuveen California Divadv Fund 3
NZW	Nuveen Michigan Divadv Fund
NZW-C	Nuveen Michigan Dividend Advant
OBT	Orbital Corp Ltd
OEF	S&P 100 Index Ishares
OESX	Orion Energy Systems
OFF	Risk Off Fisher-Gartman ETN UBS E-Tracs
OFI	Overhill Farms
OGEM	Energy GEMS ETF Egshares
OIH	Oil Services ETF Market Vectors
OIL	S&P GSCI Crude Oil TR Index ETN Ipath
OILZ	Oil Futures Contango ETN UBS E-Tracs
OLEM	Crude Oil Pure Beta ETN Ipath
OLO	DB Crude Oil Long ETN Powershares
ONEF	Russell Equity ETF
ONG	Energy Pure Beta ETN Ipath
ONN	Risk On Fisher-Gartman ETN UBS E-Tracs
ONP	Orient Paper
PAF	FTSE Rafi Asia Pacific Ex-Jp Powershares
PAL	North American Palladium
PALL	Physical Palladium
PAO	Riverfront Tactical Bal Gr Powershares
PBD	Global Clean Energy Powershares
PBE	Dynamic Biotech & Genome Powershares
PBJ	Dynamic Food & Beverage Powershares
PBM	Pacific Booker Minerals Inc
PBP	S&P 500 Buywrite Powershares
PBS	Dynamic Media Powershares
PBTH	Prolor Biotech
PBW	Wilderhill Clean Energy Powershares
PCA	Riverfront Tactical Gr & Inc Powershares
PCC	Pmc Commercial Trust
PCEF	CEF Income Composite Powershares
PCG-A	Pacific Gas El 6.00
PCG-B	Pacific Gas El 5.50
PCG-C	Pacific Gas El 5.00
PCG-D	Pacific Gas El 5.00
PCG-E	Pacific Gas El 5.00
PCG-G	Pacific Gas El 4.80
PCG-H	Pacific Gas El 4.50
PCG-I	Pacific Gas El 4.36
PCY	Emrg Mkts Sovereign Debt Powershares
PCYG	Park City Group
PDN	FTSE Rafi Dev Mkts Ex-US S/M Powershares
PDO	Pyramid Oil Co
PDP	DWA Technical Leaders Powershares
PEJ	Dynamic Leisure & Entertain Powershares
PEK	China ETF Market Vectors
PERM	G-X Permanent ETF
PEY	High-Yield Eq Div Achievers Powershares
PEZ	Dynamic Consumer Disc Powershares
PFF	S&P US Preferred Stock Index Ishares
PFI	Dynamic Financials Powershares
PFIG	Fundamental Inv Gr Corp Bond Powershares
PFM	Dividend Achievers Powershares
PFXF	Market Vectors Preferred Securi
PGD	Asian & Gulf Currency Reval ETN Ipath
PGF	Financial Preferred Powershares
PGJ	Golden Dragon China Powershares
PGM	DJ-UBS Platinum TR Sub-Idx ETN Ipath
PGX	Preferred Portfolio Powershares
PHB	Fundamental High Yld Corp Bd Powershares
PHF	Pacholder High Yield Fund
PHO	Water Resources Powershares
PHYS	Sprott Physical Gold Trust
PIC	Dynamic Insurance Powershares
PICB	Intl Corporate Bond Powershares
PICK	Global Sel Metals & Mining Prd MSCI Ishares
PID	Intl Dividend Achievers Powershares
PIE	DWA EM Mkts Technical Leaders Powershares
PIN	India Powershares
PIO	Global Water Powershares
PIP	Pharmathene Inc
PIQ	Dynamic Magniquant Powershares
PIZ	DWA Dev Mkts Technical Leaders Powershares
PJB	Dynamic Banking Powershares
PJP	Dynamic Pharmaceuticals Powershares
PKB	Dynamic Building & Construct Powershares
PKN	Global Nuclear Energy Powershares
PKW	Buyback Achievers Powershares
PLG	Platinum Group Metals Ltd
PLK	Active Low Duration Powershares
PLM	Polymet Mining
PLND	Poland ETF Market Vectors
PLW	1-30 Laddered Treasury Powershares
PLX	Protalix Biotherapeutics
PMA	Active Mega Cap Powershares
PMR	Dynamic Retail Powershares
PPA	Aerospace & Defense Powershares
PPH	Pharmaceutical ETF Market Vectors
PPLT	Physical Platinum
PRB	Pre-Refunded Muni ETF Market Vectors
PRF	FTSE Rafi US 1000 Powershares
PRK	Park National Corp.
PRN	PowerShares Exchange-Traded Fund Trust
PSI	Dynamic Semiconductors Powershares
PSJ	Dynamic Software Powershares
PSK	SPDR Wells Fargo Preferred Stock
PSL	Dynamic Consumer Staples Powershares
PSLV	Sprott Physical Silver Trust ETV
PSP	Global Listed Private Eq Powershares
PSQ	Short QQQ Proshares
PSR	Active U.S. Real Estate Powershares
PST	Ultrashort 7-10 Year Treasury Proshares
PTF	Dynamic Technology Powershares
PTH	Dynamic Healthcare Powershares
PTM	Long Platinum TR ETN UBS E-Tracs
PTN	Palatin Technologies
PTO	Ibbotson Alternative Compltn Powershares
PTX	Golf Trust Of America
PUI	Dynamic Utilities Powershares
PUW	Wilderhill Progrsv Energy Powershares
PVI	Vrdo Tax-Free Weekly Powershares
PW	Pittsburgh & West Virginia Railroad
PWB	Dynamic Largecap Growth Powershares
PWC	Dynamic Market Powershares
PWO	Dynamic OTC Powershares
PWV	Dynamic Largecap Value Powershares
PWZ	Insured California Muni Bond Powershares
PXE	Dynamic Energy Explor & Prod Powershares
PXF	FTSE Rafi Dev Mkts Ex-US Powershares
PXH	FTSE Rafi Emrg Mkts Powershares
PXI	Dynamic Energy Powershares
PXJ	Dynamic Oil & Gas Services Powershares
PXLC	Fundamental Pure Large Core Powershares
PXLG	Fundamental Pure Large Grow Powershares
PXLV	Fundamental Pure Large Value Powershares
PXMC	Fundamental Pure Mid Core Powershares
PXMG	Fundamental Pure Mid Growth Powershares
PXMV	Fundamental Pure Mid Value Powershares
PXN	Lux Nanotech Powershares
PXQ	Dynamic Networking Powershares
PXR	Emrg Mkts Infrastructure Powershares
PXSC	Fundamental Pure Small Core Powershares
PXSG	Fundamental Pure Small Grow Powershares
PXSV	Fundamental Pure Small Value Powershares
PYH	Mstar Stockinvestor Cr Powershares
PYZ	Dynamic Basic Materials Powershares
PZA	Insured National Muni Bond Powershares
PZD	Cleantech Powershares
PZG	Paramount Gold And Silver
PZI	Zacks Micro Cap Powershares
PZT	Insured New York Muni Bond Powershares
QAI	IQ Hedge Multi-Strategy Tracker ETF
QBC	Cubic Energy Inc
QEH	Advisorshares Qam Equity Hedge
QGEM	Technology GEMS ETF Egshares
QID	Ultrashort QQQ Proshares
QLD	Ultra QQQ Proshares
QLT	US Quality Market Neutral ETF Quantshares
QLTA	AAA - A Rated Corporate Bond Ishares
QLTB	BAA - BA Rated Corporate Bond Fund Ishares
QLTC	B-Ca Rated Corporate Bond Fund Ishares
QMM	Quaterra Resources Inc
QMN	IQ Hedge Market Neutral Tracker
QQQE	Nasdaq-100 Equal Wtd Idx Direxion
QRM	Quest Rare Minerals Ltd
RALS	Rafi Long/Short Proshares Proshares
RAVI	Flexshares Ready Access Variabl
RBL	SPDR S&P Russia
RBY	Rubicon Minerals Corp
